batter,total_runs,balls_faced,total_dots,player_strike_rate,player_dot_percent
A Ashish Reddy,280,196,61,142.85714285714286,31.122448979591837
A Badoni,634,505,183,125.54455445544555,36.23762376237624
A Chandila,4,7,3,57.14285714285714,42.857142857142854
A Chopra,53,75,45,70.66666666666667,60.0
A Choudhary,25,20,4,125.0,20.0
A Dananjaya,4,5,2,80.0,40.0
A Flintoff,62,57,24,108.77192982456141,42.10526315789473
A Kamboj,2,2,0,100.0,0.0
A Kumble,35,49,24,71.42857142857143,48.97959183673469
A Manohar,231,181,69,127.62430939226519,38.12154696132597
A Mishra,381,440,199,86.5909090909091,45.22727272727273
A Mithun,34,26,11,130.76923076923077,42.30769230769231
A Mukund,19,23,9,82.6086956521739,39.130434782608695
A Nehra,41,63,37,65.07936507936508,58.730158730158735
A Nortje,49,51,25,96.07843137254902,49.01960784313725
A Raghuvanshi,163,109,38,149.54128440366972,34.862385321100916
A Singh,2,10,8,20.0,80.0
A Symonds,974,781,308,124.71190781049937,39.436619718309856
A Tomar,4,8,7,50.0,87.5
A Uniyal,4,7,3,57.14285714285714,42.857142857142854
A Zampa,15,25,13,60.0,52.0
AA Bilakhia,69,88,43,78.4090909090909,48.86363636363637
AA Chavan,12,11,5,109.09090909090908,45.45454545454545
AA Jhunjhunwala,217,218,98,99.54128440366972,44.95412844036697
AA Kulkarni,9,8,5,112.5,62.5
AA Noffke,9,12,6,75.0,50.0
AB Agarkar,179,160,60,111.87499999999999,37.5
AB Barath,42,43,22,97.67441860465115,51.162790697674424
AB Dinda,26,50,31,52.0,62.0
AB McDonald,123,103,38,119.41747572815532,36.89320388349515
AB de Villiers,5181,3487,1115,148.58044164037855,31.975910524806423
AC Blizzard,120,91,48,131.86813186813185,52.74725274725275
AC Gilchrist,2069,1555,737,133.05466237942122,47.39549839228296
AC Thomas,20,19,8,105.26315789473684,42.10526315789473
AC Voges,181,143,44,126.57342657342659,30.76923076923077
AD Hales,148,119,48,124.36974789915966,40.33613445378151
AD Mascarenhas,79,79,29,100.0,36.708860759493675
AD Mathews,724,599,207,120.86811352253757,34.5575959933222
AD Nath,90,99,45,90.9090909090909,45.45454545454545
AD Russell,2488,1515,645,164.22442244224422,42.57425742574257
AF Milne,23,31,15,74.19354838709677,48.38709677419355
AG Murtaza,10,14,7,71.42857142857143,50.0
AG Paunikar,49,61,41,80.32786885245902,67.21311475409836
AJ Finch,2092,1696,749,123.34905660377358,44.1627358490566
AJ Hosein,16,11,4,145.45454545454547,36.36363636363637
AJ Turner,24,31,17,77.41935483870968,54.83870967741935
AJ Tye,91,79,39,115.18987341772151,49.36708860759494
AK Markram,995,787,241,126.4294790343075,30.62261753494282
AL Menaria,401,367,152,109.26430517711172,41.41689373297003
AM Nayar,672,588,234,114.28571428571428,39.795918367346935
AM Rahane,4642,3858,1463,120.32141005702437,37.921202695697254
AN Ahmed,36,27,11,133.33333333333331,40.74074074074074
AN Ghosh,7,8,5,87.5,62.5
AP Dole,34,23,7,147.82608695652172,30.434782608695656
AP Majumdar,87,77,28,112.98701298701299,36.36363636363637
AP Tare,339,285,142,118.94736842105263,49.824561403508774
AR Bawne,12,12,4,100.0,33.33333333333333
AR Patel,1653,1318,470,125.41729893778452,35.66009104704097
AS Joseph,27,32,16,84.375,50.0
AS Rajpoot,26,41,27,63.41463414634146,65.85365853658537
AS Raut,194,172,67,112.79069767441861,38.95348837209303
AS Roy,26,24,10,108.33333333333333,41.66666666666667
AS Yadav,49,40,18,122.50000000000001,45.0
AT Carey,32,29,8,110.34482758620689,27.586206896551722
AT Rayudu,4348,3490,1274,124.58452722063038,36.50429799426934
AU Rashid,22,17,8,129.41176470588235,47.05882352941176
AUK Pathan,39,26,14,150.0,53.84615384615385
Abdul Basith,1,1,0,100.0,0.0
Abdul Samad,579,408,149,141.91176470588235,36.51960784313725
Abdur Razzak,0,2,2,0.0,100.0
Abhishek Sharma,1377,925,356,148.86486486486484,38.486486486486484
Abishek Porel,360,244,90,147.54098360655738,36.885245901639344
Akash Deep,19,12,4,158.33333333333331,33.33333333333333
Akash Madhwal,4,5,2,80.0,40.0
Aman Hakim Khan,115,109,55,105.50458715596329,50.45871559633027
Anirudh Singh,63,69,34,91.30434782608695,49.275362318840585
Ankit Sharma,87,69,29,126.08695652173914,42.028985507246375
Ankit Soni,7,9,7,77.77777777777779,77.77777777777779
Anmolpreet Singh,139,117,55,118.80341880341881,47.008547008547005
Anuj Rawat,318,276,123,115.21739130434783,44.565217391304344
Anureet Singh,36,47,22,76.59574468085107,46.808510638297875
Arjun Tendulkar,13,9,2,144.44444444444443,22.22222222222222
Arshad Khan,96,67,24,143.28358208955223,35.82089552238806
Arshad Khan (2),5,4,2,125.0,50.0
Arshdeep Singh,29,42,29,69.04761904761905,69.04761904761905
Ashutosh Sharma,189,118,43,160.16949152542372,36.440677966101696
Atharva Taide,247,177,67,139.54802259887003,37.85310734463277
Avesh Khan,41,25,10,164.0,40.0
Azhar Mahmood,388,311,124,124.7588424437299,39.87138263665595
Azmatullah Omarzai,42,34,11,123.52941176470588,32.35294117647059
B Akhil,76,57,26,133.33333333333331,45.614035087719294
B Chipli,280,256,110,109.375,42.96875
B Indrajith,21,31,18,67.74193548387096,58.06451612903226
B Kumar,306,338,159,90.53254437869822,47.0414201183432
B Laughlin,5,13,8,38.46153846153847,61.53846153846154
B Lee,124,102,46,121.56862745098039,45.09803921568628
B Sai Sudharsan,1034,770,244,134.28571428571428,31.68831168831169
B Stanlake,5,2,0,250.0,0.0
B Sumanth,35,38,15,92.10526315789474,39.473684210526315
BA Bhatt,6,7,6,85.71428571428571,85.71428571428571
BA Stokes,935,718,253,130.22284122562675,35.23676880222841
